"gid","lat","lon","goias"
1,-21,-55,"nan"
2,-21,-54.95334,"nan"
3,-21,-54.906677,"nan"
4,-21,-54.860016,"nan"
5,-21,-54.813354,"nan"
6,-21,-54.766693,"nan"
7,-21,-54.72003,"nan"
8,-21,-54.673374,"nan"
9,-21,-54.626713,"nan"
10,-21,-54.58005,"nan"
11,-21,-54.53339,"nan"
12,-21,-54.48673,"nan"
13,-21,-54.440067,"nan"
14,-21,-54.393406,"nan"
15,-21,-54.346745,"nan"
16,-21,-54.300083,"nan"
17,-21,-54.25342,"nan"
18,-21,-54.20676,"nan"
19,-21,-54.1601,"nan"
20,-21,-54.113438,"nan"
21,-21,-54.066776,"nan"
22,-21,-54.02012,"nan"
23,-21,-53.973457,"nan"
24,-21,-53.926796,"nan"
25,-21,-53.880135,"nan"
26,-21,-53.833473,"nan"
27,-21,-53.78681,"nan"
28,-21,-53.74015,"nan"
29,-21,-53.69349,"nan"
30,-21,-53.646828,"nan"
31,-21,-53.600166,"nan"
32,-21,-53.553505,"nan"
33,-21,-53.506844,"nan"
34,-21,-53.460182,"nan"
35,-21,-53.41352,"nan"
36,-21,-53.366863,"nan"
37,-21,-53.3202,"nan"
38,-21,-53.27354,"nan"
39,-21,-53.22688,"nan"
40,-21,-53.180218,"nan"
41,-21,-53.133556,"nan"
42,-21,-53.086895,"nan"
43,-21,-53.040234,"nan"
44,-21,-52.993572,"nan"
45,-21,-52.94691,"nan"
46,-21,-52.90025,"nan"
47,-21,-52.85359,"nan"
48,-21,-52.806927,"nan"
49,-21,-52.760265,"nan"
50,-21,-52.713608,"nan"
51,-21,-52.666946,"nan"
52,-21,-52.620285,"nan"
53,-21,-52.573624,"nan"
54,-21,-52.526962,"nan"
55,-21,-52.4803,"nan"
56,-21,-52.43364,"nan"
57,-21,-52.38698,"nan"
58,-21,-52.340317,"nan"
59,-21,-52.293655,"nan"
60,-21,-52.246994,"nan"
61,-21,-52.200333,"nan"
62,-21,-52.15367,"nan"
63,-21,-52.107014,"nan"
64,-21,-52.060352,"nan"
65,-21,-52.01369,"nan"
66,-21,-51.96703,"nan"
67,-21,-51.92037,"nan"
68,-21,-51.873707,"nan"
69,-21,-51.827045,"nan"
70,-21,-51.780384,"nan"
71,-21,-51.733723,"nan"
72,-21,-51.68706,"nan"
73,-21,-51.6404,"nan"
74,-21,-51.59374,"nan"
75,-21,-51.547077,"nan"
76,-21,-51.500416,"nan"
77,-21,-51.45376,"nan"
78,-21,-51.407097,"nan"
79,-21,-51.360435,"nan"
80,-21,-51.313774,"nan"
81,-21,-51.267113,"nan"
82,-21,-51.22045,"nan"
83,-21,-51.17379,"nan"
84,-21,-51.12713,"nan"
85,-21,-51.080467,"nan"
86,-21,-51.033806,"nan"
87,-21,-50.987144,"nan"
88,-21,-50.940483,"nan"
89,-21,-50.89382,"nan"
90,-21,-50.84716,"nan"
91,-21,-50.800503,"nan"
92,-21,-50.75384,"nan"
93,-21,-50.70718,"nan"
94,-21,-50.66052,"nan"
95,-21,-50.613857,"nan"
96,-21,-50.567196,"nan"
97,-21,-50.520535,"nan"
98,-21,-50.473873,"nan"
99,-21,-50.42721,"nan"
100,-21,-50.38055,"nan"
101,-21,-50.33389,"nan"
102,-21,-50.287228,"nan"
103,-21,-50.240566,"nan"
104,-21,-50.193905,"nan"
105,-21,-50.147247,"nan"
106,-21,-50.100586,"nan"
107,-21,-50.053925,"nan"
108,-21,-50.007263,"nan"
109,-21,-49.9606,"nan"
110,-21,-49.91394,"nan"
111,-21,-49.86728,"nan"
112,-21,-49.820618,"nan"
113,-21,-49.773956,"nan"
114,-21,-49.727295,"nan"
115,-21,-49.680634,"nan"
116,-21,-49.633972,"nan"
117,-21,-49.58731,"nan"
118,-21,-49.54065,"nan"
119,-21,-49.49399,"nan"
120,-21,-49.44733,"nan"
121,-21,-49.40067,"nan"
122,-21,-49.354008,"nan"
123,-21,-49.307346,"nan"
124,-21,-49.260685,"nan"
125,-21,-49.214024,"nan"
126,-21,-49.167362,"nan"
127,-21,-49.1207,"nan"
128,-21,-49.07404,"nan"
129,-21,-49.027378,"nan"
130,-21,-48.980717,"nan"
131,-21,-48.934055,"nan"
132,-21,-48.887398,"nan"
133,-21,-48.840736,"nan"
134,-21,-48.794075,"nan"
135,-21,-48.747414,"nan"
136,-21,-48.700752,"nan"
137,-21,-48.65409,"nan"
138,-21,-48.60743,"nan"
139,-21,-48.56077,"nan"
140,-21,-48.514107,"nan"
141,-21,-48.467445,"nan"
142,-21,-48.420784,"nan"
143,-21,-48.374123,"nan"
144,-21,-48.32746,"nan"
145,-21,-48.2808,"nan"
146,-21,-48.234142,"nan"
147,-21,-48.18748,"nan"
148,-21,-48.14082,"nan"
149,-21,-48.09416,"nan"
150,-21,-48.047497,"nan"
151,-21,-48.000835,"nan"
152,-21,-47.954174,"nan"
153,-21,-47.907513,"nan"
154,-21,-47.86085,"nan"
155,-21,-47.81419,"nan"
156,-21,-47.76753,"nan"
157,-21,-47.720867,"nan"
158,-21,-47.674206,"nan"
159,-21,-47.627544,"nan"
160,-21,-47.580887,"nan"
161,-21,-47.534225,"nan"
162,-21,-47.487564,"nan"
163,-21,-47.440903,"nan"
164,-21,-47.39424,"nan"
165,-21,-47.34758,"nan"
166,-21,-47.30092,"nan"
167,-21,-47.254257,"nan"
168,-21,-47.207596,"nan"
169,-21,-47.160934,"nan"
170,-21,-47.114273,"nan"
171,-21,-47.06761,"nan"
172,-21,-47.02095,"nan"
173,-21,-46.97429,"nan"
174,-21,-46.92763,"nan"
175,-21,-46.88097,"nan"
176,-21,-46.83431,"nan"
177,-21,-46.787647,"nan"
178,-21,-46.740986,"nan"
179,-21,-46.694324,"nan"
180,-21,-46.647663,"nan"
181,-21,-46601,"nan"
182,-21,-46.55434,"nan"
183,-21,-46.50768,"nan"
184,-21,-46.461018,"nan"
185,-21,-46.414356,"nan"
186,-21,-46.367695,"nan"
187,-21,-46.321037,"nan"
188,-21,-46.274376,"nan"
189,-21,-46.227715,"nan"
190,-21,-46.181053,"nan"
191,-21,-46.13439,"nan"
192,-21,-46.08773,"nan"
193,-21,-46.04107,"nan"
194,-21,-45.994408,"nan"
195,-21,-45.947746,"nan"
196,-21,-45.901085,"nan"
197,-21,-45.854424,"nan"
198,-21,-45.807762,"nan"
199,-21,-45.7611,"nan"
200,-21,-45.71444,"nan"
201,-21,-45.66778,"nan"
202,-21,-45.62112,"nan"
203,-21,-45.57446,"nan"
204,-21,-45.527798,"nan"
205,-21,-45.481136,"nan"
206,-21,-45.434475,"nan"
207,-21,-45.387814,"nan"
208,-21,-45.341152,"nan"
209,-21,-45.29449,"nan"
210,-21,-45.24783,"nan"
211,-21,-45.201168,"nan"
212,-21,-45.154507,"nan"
213,-21,-45.107845,"nan"
214,-21,-45.061184,"nan"
215,-21,-45.014526,"nan"
216,-21,-44.967865,"nan"
